DATE,consumer_confidence_index,consumer_price_index,emratio,GDP,house_start,income,median_sales_price,mortgage_rate,population,target,unemployed_rate
2012-03-31,0.0,0.0,0.0,16068.805,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-01,76.4,229.187,58.4,0.0,1506.0,13868.1,238700.0,3.91,314176.0,139.152,8.2
2012-04-30,0.0,0.0,0.0,16207.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-01,79.3,228.713,58.5,0.0,1416.0,13850.3,238700.0,3.798,314368.0,140.154,8.2
2012-05-31,0.0,0.0,0.0,16207.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-01,73.2,228.524,58.6,0.0,1514.0,13837.1,238700.0,3.675,314576.0,141.03,8.2
2012-06-30,0.0,0.0,0.0,16207.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-01,72.3,228.59,58.5,0.0,1480.0,13752.9,248800.0,3.55,314796.0,141.67,8.2
2012-07-31,0.0,0.0,0.0,16319.541,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-01,74.3,229.918,58.4,0.0,1508.0,13768.5,248800.0,3.602,315031.0,142.28,8.1
2012-08-31,0.0,0.0,0.0,16319.541,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-01,78.3,231.015,58.7,0.0,1694.0,13914.1,248800.0,3.4975,315264.0,142.907,7.8
2012-09-30,0.0,0.0,0.0,16319.541,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-01,82.6,231.638,58.8,0.0,1830.0,14049.2,251700.0,3.3825,315485.0,143.598,7.8
2012-10-31,0.0,0.0,0.0,16420.419,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-01,82.7,231.249,58.7,0.0,1666.0,14230.7,251700.0,3.352,315692.0,144.582,7.7
2012-11-30,0.0,0.0,0.0,16420.419,0.0,0.0,0.0,0.0,0.0,0.0,0.0
